OBJECTID,GRID,SHAPE_Leng,SHAPE_Area,mortality_score,community_score,egress_score,population_score,utility_score,priority_score,priority_class,priority_rank
45,176,2538.8652322,399348.480734,0.0,0.0,9.618849493702019,0.0,0.49787068367863946,1.973556967108268,Very Low,44
46,177,2538.81217445,399334.080207,0.0,0.0,8.910603843437295,9.382422802850357,3.0528507060647145,3.494769259721484,Low,19
47,178,2538.75132182,399316.691344,0.0,0.1943427689257604,6.749348736008849,5.771971496437055,3.1687462065377847,2.5811257845525466,Low,33
48,179,2537.77606615,399015.64409,0.0,0.0,4.1375971686345805,5.771971496437055,0.8439669337613953,1.7777118515686139,Very Low,51
49,104,2539.02239229,399394.29407,0.0,0.0,5.396349084263088,0.34837688044338877,0.49787068367863946,1.1813134172869897,Very Low,62
50,114,2536.94133262,398796.037691,0.0,2.5405960915570325,8.11174434504392,3.9588281868566906,1.7223594276032703,3.023558062686873,Low,23
51,124,2536.94057823,398795.953738,0.0,1.77120884370486,9.678693346564106,3.9588281868566906,7.675156110271232,3.739880719294663,Low,16
52,134,2536.93932093,398795.340606,0.0,0.32293485882547546,6.294988153165706,3.341250989707047,4.728598059419403,2.3137787997375074,Low,35
53,105,2538.96053413,399377.123098,0.0,0.4792471631152717,3.66494877079673,0.34837688044338877,0.7338650202994592,0.978444579034618,Very Low,67
54,115,2536.93881804,398795.329008,0.0,7.22170998472566,6.434801748352426,0.34837688044338877,9.046799495804304,4.049324327498839,Medium,12
55,125,2536.9408297,398795.892995,0.0,5.362841403302201,9.757680863968208,3.9588281868566906,2.374725230288041,4.123543274676499,Medium,11
56,135,2536.94158407,398796.110039,0.0,4.215730486121727,7.772023759298241,3.341250989707047,7.139104551001031,3.82343547694624,Low,15
57,106,2538.87126683,399350.574902,0.0,0.0,2.294439541145832,0.34837688044338877,0.7545879075660593,0.5866032310522806,Very Low,72
58,116,2536.92146748,398789.464556,0.0,4.920095348314159,5.402951003682429,0.34837688044338877,2.6572300061061647,2.6285935704921504,Low,32
59,126,2536.92197038,398789.372626,0.0,3.5732153841880434,8.023155756634644,3.9588281868566906,0.49787068367863946,3.141546293770307,Low,22
60,136,2536.92322768,398789.749153,0.0,4.247752503431305,9.786544972730564,10.0,5.398874672448298,5.059134587648769,Medium,4
61,107,2542.85179013,400743.000333,0.0,0.0,0.9503330389514164,0.0,0.49787068367863946,0.23985367615814723,Very Low,77
62,117,2540.24796353,399933.05697,0.0,0.0,3.6383389458198745,0.0,0.49787068367863946,0.7774548575318388,Very Low,69
63,127,2538.27568841,399242.51428,0.0,0.0,6.179800650571719,0.0,0.49787068367863946,1.2857471984822078,Very Low,59
64,137,2536.94309279,398796.662423,0.0,3.7566145361760017,7.161381094681372,6.389548693586699,7.961996802323372,4.126061837250617,Medium,10
65,150,2537.93075374,399150.444528,0.0,0.0,0.9920614514005988,0.0,0.8488047015524005,0.2832927604353598,Very Low,76
66,160,2537.94200901,399110.041585,0.0,0.0,1.78801669895006,5.771971496437055,6.867740975579061,1.9101731618134763,Very Low,48
67,170,2536.73029771,398761.543647,0.0,0.0,2.0651738046918133,5.771971496437055,3.6715246516945905,1.6459829505733798,Very Low,53
68,180,2537.83470444,399078.054833,0.0,0.0,1.4184930960240727,5.771971496437055,0.49787068367863946,1.199281412038237,Very Low,61
69,128,2538.6476172,399338.994749,0.0,0.0,3.576947425187268,1.393507521773555,0.7742940738810721,1.001845020691594,Very Low,65
70,138,2536.9435957,398796.836694,0.0,0.0,5.026849575014497,7.434679334916865,2.0038141170100134,2.3209532269414304,Low,34
71,129,2530.03302978,396707.698928,0.0,0.0,0.8178740362804693,1.393507521773555,9.671580280794757,1.3397589636016027,Very Low,57
72,139,2536.93856656,398795.241863,0.0,0.0,2.4755173099673433,1.393507521773555,3.05991365827992,1.010120956087494,Very Low,64
73,130,2526.5471544,395867.158159,0.0,0.0,0.0,1.393507521773555,8.025030347664558,1.011529163032489,Very Low,63
74,140,2538.87528911,399466.665147,0.0,0.0,0.0,1.393507521773555,0.8832410326914204,0.2973502315351753,Very Low,73
75,120,2529.87887439,396654.462183,0.0,0.0,0.0,1.393507521773555,0.8526369032182223,0.2942898185878555,Very Low,74
76,110,2532.82807403,397288.643677,0.0,0.0,0.0,0.0,0.49787068367863946,0.04978706836786395,Very Low,78
77,108,2541.90101822,400431.832416,0.0,0.0,0.0,0.0,0.49787068367863946,0.04978706836786395,Very Low,78
78,109,2535.48022244,398208.274837,0.0,0.0,0.0,0.0,0.49787068367863946,0.04978706836786395,Very Low,78
79,118,2540.05443866,399848.248726,0.0,0.0,1.8117502071783742,1.393507521773555,0.49787068367863946,0.6211632380695721,Very Low,71
80,119,2534.10770558,397755.139911,0.0,0.0,0.0,1.393507521773555,0.794986854297721,0.28852481369580535,Very Low,75
